Designator,Footprint,Quantity,Value,LCSC Part #
"AL1, AL10, AL11, AL12, AL13, AL14, AL15, AL16, AL17, AL18, AL19, AL2, AL20, AL21, AL22, AL23, AL24, AL3, AL4, AL5, AL6, AL7, AL8, AL9",LED-SMD_4P-SK6805MICRO-J,24,SK6805MICRO-J,C2909056
BUZZER1,BUZ-SMD_L5.0-W5.5-P4.60,1,MLT-5020,C94598
"C1, C12, C13, C24, C39, C5, C6, C7",C_0603,8,10uF,C96446
"C10, C11, C25, C3, C35, C36, C4",C_0402,7,100nF,C1525
"C14, C2",C_0603,2,100nF,C14663
"C15, C16, C32, C33, C8, C9",C_0402,6,1uF,C52923
"C17, C27",C0805,2,10uF,
"C18, C19, C20, C21, C22, C23",C_0603,6,1uF,C15849
C26,C_0603,1,4.7uF,C19666
"C28, C29, C30, C31, C38, C40",C_0805,6,22uF,C45783
"C34, C41, C44",C_0402,3,100nF,C307331
C37,C0603,1,TMK107BBJ106MA-T,C386081
CARD1,TF-SMD_TF-PUSH,1,TF PUSH,C393941
CN1,CONN-SMD_B4B-PH-SM4-TB-LF-SN,1,B4B-PH-SM4-TB (LF)(SN),C160354
"D1, D14, D19",D_0603,3,Red,C2286
D10,D_SOD-523,1,B5819WT,C7502714
D12,D_0805,1,Green,C2297
D13,SMA_L4.5-W2.6-LS5.1-RD,1,SMAJ7.0A,
"D16, D5",D_SOD-123,2,B0520W,C7502707
"D17, D18",SMAF_L3.5-W2.6-LS4.7-RD,2,SS32F_C719168,C719168
"D2, D3, D4, D6, D7, D8",SOD-523_L1.2-W0.8-LS1.6-BI,6,LESD5D5.0CT1G,C5199850
"D20, D21",SOD-323_L1.8-W1.3-LS2.5-RD,2,BZT52-B5V1S,C268474
D9,SOD-323_L1.8-W1.3-LS2.5-RD-1,1,BZT52-B10S-PEC,C263144
"J1, J2",TYPE-C-SMD_HX-TYPE-C-16PIN,2,"Connector, USB-TYPE-C-16P",C2927039
J11,PinSocket_2x03_P2.54mm_Vertical,1,Conn_02x03_Odd_Even,C541853
"J12, J14, J15, J5",PinSocket_1x02_P2.54mm_Vertical,4,Conn_01x02_Socket,C7499322
"J13, J6",PinSocket_1x04_P2.54mm_Vertical,2,Conn_01x04_Socket,C2718488
"J3, J9",PinSocket_2x06_P2.54mm_Vertical,2,Conn_02x06_Odd_Even,C5307342
J4,PinSocket_2x15_P2.54mm_Vertical,1,Conn_02x15_Odd_Even,C7499350
"J7, J8",PinSocket_1x08_P2.54mm_Vertical,2,Conn_01x08_Socket,C42385698
L1,IND-SMD_L4.0-W4.0,1,ANR4030T3R9M,C6808101
L2,L0805,1,MPZ2012S101AT000,C15957
L3,IND-SMD_L4.0-W4.0_XEL4020,1,XGL4020-152MEC,C7417180
LED1,LED-ARRAY-SMD_L3.7-W3.5-P1.10-TL,1,RS-3535MWAM,C842778
P1,CONN-TH_2P-P2.00_PH-2A_C2319,1,PH-2A_C2319,C2319
P2,FPC-SMD_12P-L11.5-W5.4-P0.50,1,FPC 0.5MM 12P Pull type H2.0mm Pick up,C11086
P3,CONN-TH_2P-P3.81_KF124-3.81-2P,1,WJ124-3.81-2P,C69811
"Q1, Q2",Q_SOT-23,2,SS8050 200-350,C2150
"Q10, Q11",SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR-CW,2,DMN3150L-7,C156268
Q3,DFN-3L_L1.0-W0.6-P0.65-BR,1,AP1606,C2849580
Q5,DTC114EE,1,DTC114E,C94400
Q6,SOT-23-3_L3.0-W1.7-P0.95-LS2.9-BR,1,SI2301CDS-T1-GE3,C10487
"R1, R11, R12",R_0402,3,0Ω,C17168
"R10, R13, R14, R17, R44, R46, R6, R66, R68, R69, R70",R_0402,11,10kΩ,C25744
"R15, R16, R55",R_0402,3,470Ω,C25117
"R18, R40, R47, R49, R50, R51, R52",R_0402,7,100Ω,C25076
"R19, R20",R_0402,2,680Ω,C25130
R21,R_0402,1,1.2kΩ,C25862
"R22, R54",R_0402,2,300Ω,C25102
R23,JOYTICK-TH_YF16-DFL7.2-B5KO-45-10-B5KO-55--RG-A22,1,YF16-FL7.2-B5KA(45-10)-R-A28,C37323739
"R24, R48, R59",R_0402,3,1MΩ,C26083
"R25, R9",R_0402,2,1kΩ,C11702
R26,R_0402,1,2.2kΩ,C25879
"R27, R28, R29, R30, R31, R32, R33, R34, R35, R36, R37, R38",R_0603,12,10kΩ,C25804
"R3, R4",R_0402,2,5.1kΩ,C25905
"R39, R53, R56, R62",R_0402,4,100kΩ,C25741
R41,R_0402,1,150kΩ,C25755
R42,0402,1,27Ω,
"R43, R45",R_0402,2,4.7kΩ,C25900
R5,R0402,1,910k,C2909391
R57,R_0402,1,68kΩ,C36871
"R58, R8",R_0402,2,47kΩ,C25792
R61,R_0402,1,3.3kΩ,C25890
R64,R_0402,1,330Ω,C25104
R65,R_0402,1,12kΩ,C25752
R7,R_0402,1,22kΩ,C25768
R71,R_0402,1,470kΩ,C25790
RV1,Potentiometer_Bourns_3296W_Vertical,1,1000Ω,C57089
"SW1, SW2",SW-SMD_L3.9-W3.0-P4.45,2,TS-1088-AR02016,C720477
SW10,SW-TH_SK22D02G5,1,SK22D02G5,C22435631
"SW4, SW5, SW6, SW7, SW8, SW9",SW-TH_4P-L6.0-W6.0-P4.50-LS6.5,6,TS665CJ,C393938
U1,ESP32-S2-MINI-1,1,ESP32-S3-MINI-1-N4R2,C3013941
"U11, U12",SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL,2,SY6288F1ABC,C2875458
U18,QFN-16_L3.0-W3.0-P0.50-TL_MMA8452QR1,1,MMA8452QR1_C11360,C11360
U2,VQFN-HR-15_L3.0-W2.5-P0.50-BL_TPS63070RNMR,1,TPS630701RNMR,C2876599
U3,QFN-28_L5.0-W5.0-P0.50-TL-EP3.3,1,CP2102N-A02-GQFN28R,C964632
U4,ESOP-8_L4.9-W3.9-P1.27-LS6.0-BL-EP,1,TP4056,C16581
U5,VQFN-HR-12_L2.5-W2.0-P0.50-BL,1,TPS2121RUXR,C485916
U6,CONN-SMD_4P-P1.00_MEGASTAR_ZX-SH1.0-4PWT,1,ZX-SH1.0-4PWT,C7430446
U8,X2QFN-12_L1.6-W1.6-P0.40-BL,1,TUSB321AIRWBR,C2674046
U9,TSOT-26_L2.9-W1.6-P0.95-LS2.8-BL,1,AP63203WU-7,C780769
